id arrival begin end wait queue duration order
260 28533 28533 29392 0 0 859 328
250 7056 7056 7916 0 0 860 329
355 2808 2808 3668 0 0 860 330
28 37769 37769 38632 0 0 863 331
83 17264 17264 18128 0 0 864 332
71 3057 3057 3923 0 0 866 333
288 17429 17429 18297 0 0 868 334
284 11219 11219 12090 0 0 871 335
274 35227 35227 36100 0 0 873 336
97 38956 38968 39831 12 1 863 337
220 30049 30259 30924 210 2 665 338
61 23555 23596 24431 41 1 835 339
219 18494 18494 19377 0 0 883 340
149 22825 22825 23711 0 0 886 341
103 5721 5721 6612 0 0 891 342
42 40830 40830 41724 0 0 894 343
181 28635 28635 29529 0 0 894 344
29 18114 18114 19015 0 0 901 345
81 3874 3874 4777 0 0 903 346
121 34555 34555 35463 0 0 908 347
122 39572 39572 40480 0 0 908 348
301 16444 16478 17353 34 1 875 349
68 14404 14604 15346 200 3 742 350
261 3502 3641 4482 139 2 841 351
57 14524 14867 15509 343 5 642 352
269 14598 14947 15593 349 6 646 353
9 14280 14576 15308 296 3 732 354
332 15447 15793 16588 346 6 795 355
347 14970 15509 16167 539 4 658 356
310 15244 15685 16478 441 7 793 357
139 14417 14804 15687 387 5 883 358
15 14659 15258 16167 599 5 909 359
