id arrival begin end wait queue duration serviceTime order
3339 3312 12913 13289 9601 33 376 9977 278
863 3412 13391 13391 9979 29 0 9979 279
55 3382 13338 13365 9956 36 27 9983 280
2015 3423 13391 13446 9968 30 55 10023 281
1893 3338 12957 13391 9619 28 434 10053 282
2279 3281 12832 13338 9551 35 506 10057 283
378 3380 13307 13446 9927 35 139 10066 284
2619 3352 13195 13505 9843 39 310 10153 285
3144 3476 13505 13632 10029 39 127 10156 286
2352 3405 13365 13566 9960 37 201 10161 287
1351 3290 12867 13465 9577 32 598 10175 288
2158 3481 13518 13661 10037 36 143 10180 289
1968 3331 12957 13518 9626 35 561 10187 290
261 3502 13661 13926 10159 37 265 10424 291
2426 3462 13446 13895 9984 36 449 10433 292
1782 3510 13926 14004 10416 38 78 10494 293
3257 3448 13446 13943 9998 31 497 10495 294
830 3470 13465 14025 9995 32 560 10555 295
497 3571 14025 14191 10454 33 166 10620 296
1816 3490 13566 14130 10076 36 564 10640 297
1370 3532 13943 14178 10411 32 235 10646 298
314 3491 13632 14215 10141 40 583 10724 299
1167 3507 13895 14333 10388 37 438 10826 300
3453 3542 14004 14394 10462 39 390 10852 301
3474 3624 14215 14533 10591 41 318 10909 302
290 3630 14333 14559 10703 37 226 10929 303
2502 3596 14178 14653 10582 33 475 11057 304
1430 3586 14130 14650 10544 37 520 11064 305
151 3733 14650 14816 10917 38 166 11083 306
2769 3598 14191 14752 10593 34 561 11154 307
1774 3847 14993 15002 11146 34 9 11155 308
541 3831 14898 15017 11067 43 119 11186 309
2990 3806 14876 15000 11070 40 124 11194 310
1880 3795 14752 14991 10957 34 239 11196 311
2484 3789 14653 14993 10864 33 340 11204 312
2808 3663 14394 14876 10731 40 482 11213 313
925 3683 14533 14898 10850 42 365 11215 314
81 3874 15007 15094 11133 39 87 11220 315
212 3883 15017 15127 11134 43 110 11244 316
1153 3892 15127 15170 11235 44 43 11278 317
62 3714 14559 15007 10845 38 448 11293 318
2955 3869 15002 15200 11133 35 198 11331 319
3318 3902 15170 15272 11268 45 102 11370 320
587 3987 15411 15425 11424 40 14 11438 321
1973 3992 15422 15440 11430 41 18 11448 322
1974 3859 15000 15329 11141 41 329 11470 323
1087 3892 15094 15422 11202 40 328 11530 324
817 3972 15329 15547 11357 42 218 11575 325
738 3802 14816 15411 11014 39 595 11609 326
3041 3837 14991 15498 11154 35 507 11661 327
1847 3971 15272 15654 11301 46 382 11683 328
428 4027 15547 15777 11520 43 230 11750 329
2410 4009 15425 15771 11416 40 346 11762 330
631 3908 15200 15776 11292 36 576 11868 331
1329 4022 15440 15925 11418 42 485 11903 332
1173 4023 15498 16023 11475 34 525 12000 333
2713 4032 15771 16098 11739 41 327 12066 334
3390 4029 15654 16100 11625 45 446 12071 335
3351 4058 15925 16164 11867 43 239 12106 336
1559 4110 16100 16231 11990 46 131 12121 337
3499 4032 15776 16181 11744 37 405 12149 338
2436 4041 15777 16270 11736 44 493 12229 339
946 4205 16469 16553 12264 43 84 12348 340
1002 4104 16098 16469 11994 42 371 12365 341
2711 4089 16023 16493 11934 35 470 12404 342
371 4186 16231 16599 12045 47 368 12413 343
561 4167 16164 16597 11997 44 433 12430 344
1861 4183 16181 16633 11998 38 452 12450 345
1796 4233 16599 16735 12366 48 136 12502 346
1643 4246 16633 16749 12387 39 116 12503 347
2783 4218 16553 16773 12335 44 220 12555 348
3332 4190 16270 16831 12080 43 561 12641 349
2993 4214 16493 16892 12279 36 399 12678 350
1743 4233 16597 17012 12364 44 415 12779 351
233 4273 16749 17053 12476 39 304 12780 352
3030 4274 16773 17296 12499 44 523 13022 353
3255 4289 16892 17331 12603 37 439 13042 354
3063 4251 16735 17302 12484 49 567 13051 355
727 4281 16831 17429 12550 43 598 13148 356
3523 4294 17012 17490 12718 45 478 13196 357
1326 4343 17490 17631 13147 46 141 13288 358
1783 4358 17631 17652 13273 47 21 13294 359
3508 4326 17331 17638 13005 38 307 13312 360
3439 4333 17429 17649 13096 44 220 13316 361
351 4374 17638 17707 13264 39 69 13333 362
1644 4302 17053 17651 12751 40 598 13349 363
3252 4307 17296 17690 12989 45 394 13383 364
267 4414 17649 17871 13235 45 222 13457 365
3380 4324 17302 17798 12978 50 496 13474 366
2321 4441 17798 17923 13357 51 125 13482 367
25 4444 17871 18014 13427 46 143 13570 368
578 4479 18093 18097 13614 41 4 13618 369
1633 4417 17651 18041 13234 41 390 13624 370
2137 4436 17707 18093 13271 40 386 13657 371
1006 4487 18182 18217 13695 49 35 13730 372
1701 4428 17652 18182 13224 48 530 13754 373
1853 4464 17923 18299 13459 52 376 13835 374
3224 4432 17690 18280 13258 46 590 13848 375
2542 4549 18451 18468 13902 43 17 13919 376
1862 4470 18014 18431 13544 46 417 13961 377
2404 4470 18041 18451 13571 42 410 13981 378
2889 4481 18097 18469 13616 42 372 13988 379
861 4505 18280 18543 13775 46 263 14038 380
1359 4488 18217 18698 13729 50 481 14210 381
